Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1988,2,12,5,713,705,806,759,PI,503,NA,53,54,NA,7,8,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,13,6,702,705,804,759,PI,503,NA,62,54,NA,5,-3,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,15,1,702,705,759,759,PI,503,NA,57,54,NA,0,-3,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,16,2,703,705,801,759,PI,503,NA,58,54,NA,2,-2,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,17,3,704,705,759,759,PI,503,NA,55,54,NA,0,-1,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,18,4,703,705,755,759,PI,503,NA,52,54,NA,-4,-2,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,19,5,703,705,758,759,PI,503,NA,55,54,NA,-1,-2,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,20,6,703,705,806,759,PI,503,NA,63,54,NA,7,-2,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,22,1,703,705,804,759,PI,503,NA,61,54,NA,5,-2,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,23,2,705,705,758,759,PI,503,NA,53,54,NA,-1,0,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,24,3,704,705,754,759,PI,503,NA,50,54,NA,-5,-1,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,25,4,704,705,755,759,PI,503,NA,51,54,NA,-4,-1,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,26,5,702,705,759,759,PI,503,NA,57,54,NA,0,-3,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1988,2,27,6,709,705,802,759,PI,503,NA,53,54,NA,3,4,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,29,1,704,705,804,759,PI,503,NA,60,54,NA,5,-1,GSO,DCA,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,1,1,1127,1035,1241,1120,PI,503,NA,194,165,NA,81,52,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,2,2,1044,1035,1141,1120,PI,503,NA,177,165,NA,21,9,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,3,3,1044,1035,1142,1120,PI,503,NA,178,165,NA,22,9,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,4,4,1053,1035,1208,1120,PI,503,NA,195,165,NA,48,18,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,5,5,1142,1035,1301,1120,PI,503,NA,199,165,NA,101,67,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,6,6,1104,1035,1148,1120,PI,503,NA,164,165,NA,28,29,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,7,7,1035,1035,1138,1120,PI,503,NA,183,165,NA,18,0,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,8,1,1034,1035,1136,1120,PI,503,NA,182,165,NA,16,-1,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,9,2,1052,1035,1130,1120,PI,503,NA,158,165,NA,10,17,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,10,3,1158,1035,1337,1120,PI,503,NA,219,165,NA,137,83,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,11,4,1040,1035,1124,1120,PI,503,NA,164,165,NA,4,5,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,12,5,1109,1035,1208,1120,PI,503,NA,179,165,NA,48,34,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,13,6,1111,1035,1200,1120,PI,503,NA,169,165,NA,40,36,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,14,7,1042,1035,1132,1120,PI,503,NA,170,165,NA,12,7,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,15,1,1036,1035,1118,1120,PI,503,NA,162,165,NA,-2,1,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,YES
1988,2,16,2,1039,1035,1148,1120,PI,503,NA,189,165,NA,28,4,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,17,3,1035,1035,1138,1120,PI,503,NA,183,165,NA,18,0,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1988,2,18,4,1045,1035,1136,1120,PI,503,NA,171,165,NA,16,10,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,19,5,1040,1035,1127,1120,PI,503,NA,167,165,NA,7,5,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,20,6,1106,1035,1159,1120,PI,503,NA,173,165,NA,39,31,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,21,7,1037,1035,1133,1120,PI,503,NA,176,165,NA,13,2,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,22,1,1126,1035,1240,1120,PI,503,NA,194,165,NA,80,51,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,23,2,1048,1035,1209,1120,PI,503,NA,201,165,NA,49,13,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,24,3,1050,1035,1150,1120,PI,503,NA,180,165,NA,30,15,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,25,4,1045,1035,1137,1120,PI,503,NA,172,165,NA,17,10,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,26,5,1042,1035,1137,1120,PI,503,NA,175,165,NA,17,7,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,27,6,1043,1035,1120,1120,PI,503,NA,157,165,NA,0,8,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,YES
1988,2,28,7,1039,1035,1121,1120,PI,503,NA,162,165,NA,1,4,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1988,2,29,1,1036,1035,1130,1120,PI,503,NA,174,165,NA,10,1,SDF,DEN,1023,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
