Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1987,11,29,7,1239,1224,1430,1423,PI,542,NA,111,119,NA,7,15,CLT,BOS,728,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,30,1,1300,1224,1507,1423,PI,542,NA,127,119,NA,44,36,CLT,BOS,728,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,1,7,1012,1010,1136,1134,PI,542,NA,84,84,NA,2,2,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,2,1,1007,1010,1134,1134,PI,542,NA,87,84,NA,0,-3,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1987,11,3,2,1020,1010,1144,1134,PI,542,NA,84,84,NA,10,10,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,4,3,1008,1010,1135,1134,PI,542,NA,87,84,NA,1,-2,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1987,11,5,4,1012,1010,1144,1134,PI,542,NA,92,84,NA,10,2,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,6,5,1010,1010,1138,1134,PI,542,NA,88,84,NA,4,0,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1987,11,7,6,1008,1010,1136,1134,PI,542,NA,88,84,NA,2,-2,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1987,11,8,7,1012,1010,1139,1134,PI,542,NA,87,84,NA,5,2,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,9,1,1011,1010,1139,1134,PI,542,NA,88,84,NA,5,1,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,10,2,1009,1010,1138,1134,PI,542,NA,89,84,NA,4,-1,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1987,11,11,3,1008,1010,1131,1134,PI,542,NA,83,84,NA,-3,-2,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NO,NO
1987,11,12,4,1015,1010,1142,1134,PI,542,NA,87,84,NA,8,5,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
1987,11,13,5,1010,1010,1143,1134,PI,542,NA,93,84,NA,9,0,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,NO
1987,11,14,6,1221,1010,1347,1134,PI,542,NA,86,84,NA,133,131,MCO,CLT,468,NA,NA,0,NA,0,NA,NA,NA,NA,NA,YES,YES
